paper,table,reporter,promoter,cells,sample,expression_diff,p_adj
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.23-pEEF1A1.f.SV40pA ,-0.259 ,0.004 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.24-pEEF1A1.f.SV40pA ,0.070 ,0.998 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.25-pEEF1A1.f.SV40pA ,-0.042 ,1.000 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.26-pEEF1A1.f.SV40pA ,-0.312 ,0.000 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.27-pEEF1A1.f.SV40pA ,0.150 ,0.439 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.28-pEEF1A1.f.SV40pA ,0.063 ,0.999 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,HEK293-f.SV40pA ,-0.449 ,0.000 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,no.terminator-f.SV40pA ,-0.301 ,0.000 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,T.GAPDH.2-f.SV40pA ,0.073 ,0.183 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,T.ACTB.4-f.SV40pA ,0.008 ,1.000 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.08-f.SV40pA ,-0.157 ,0.000 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.09-f.SV40pA ,-0.043 ,0.915 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.10-f.SV40pA ,-0.039 ,0.957 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.18-f.SV40pA ,-0.084 ,0.060 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.19-f.SV40pA ,0.046 ,0.857 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.20-f.SV40pA ,0.049 ,0.804 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.23-f.SV40pA ,-0.145 ,0.000 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.24-f.SV40pA ,0.031 ,0.996 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.25-f.SV40pA ,-0.086 ,0.049 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.26-f.SV40pA ,-0.116 ,0.001 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.27-f.SV40pA ,0.015 ,1.000 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.28-f.SV40pA ,-0.006 ,1.000 
